harm	voice4	voice3	voice2	voice1	beat	meter	onset_strength	beat_strength	LABEL	similarity
I	16EE-	2r	4e-	4e-	1	M4/4	2.0	strong beat	1.0	1.0
I	16E-	2r	4e-	4e-	1.25	M4/4	1.0	off beat	0.0	0.6666666666666666
I	16BB-	2r	4e-	4e-	1.5	M4/4	1.0	off beat	0.0	0.5
I	16GG	2r	4e-	4e-	1.75	M4/4	1.0	off beat	0.0	0.8
I	8EE-	2r	16g	16b-	2	M4/4	3.0	weak beat	0.0	0.8
I	8EE-	2r	16e-	16g	2.25	M4/4	1.0	off beat	0.0	0.4
I	8EE-	2r	16a-	16cc	2.5	M4/4	2.0	off beat	0.0	0.6666666666666666
I	8EE-	2r	16f	16a-	2.75	M4/4	1.0	off beat	0.0	0.3333333333333333
I	8EE-	16E-	8.g	8.b-	3	M4/4	3.0	strong beat	0.0	1.0
I	8EE-	16G	8.g	8.b-	3.25	M4/4	1.0	off beat	0.0	1.0
I	8EE-	16B-	8.g	8.b-	3.5	M4/4	1.0	off beat	0.0	1.0
I	8EE-	16e-	16b-	16gg	3.75	M4/4	2.0	off beat	0.0	0.3333333333333333
IVc	8EE-	8E-	16cc	16aa-	4	M4/4	3.0	weak beat	1.0	0.6666666666666666
IVc	8EE-	8E-	16a-	16ff	4.25	M4/4	2.0	off beat	0.0	0.4
viio	8EE-	8r	16g	16ee-	4.5	M4/4	2.0	off beat	1.0	0.4
viio	8EE-	8r	16f	16dd	4.75	M4/4	2.0	off beat	0.0	0.4
I	16EE-	2r	8.g	8.ee-	1	M4/4	2.0	strong beat	1.0	1.0
I	16E-	2r	8.g	8.ee-	1.25	M4/4	1.0	off beat	0.0	0.8
I	16BB-	2r	8.g	8.ee-	1.5	M4/4	1.0	off beat	0.0	0.8
I	16GG	2r	16e-	16g	1.75	M4/4	2.0	off beat	0.0	0.8
I	8EE-	2r	16g	16b-	2	M4/4	2.0	weak beat	0.0	0.8
I	8EE-	2r	16e-	16g	2.25	M4/4	1.0	off beat	0.0	0.4
I	8EE-	2r	16a-	16cc	2.5	M4/4	2.0	off beat	0.0	0.6666666666666666
I	8EE-	2r	16f	16a-	2.75	M4/4	1.0	off beat	0.0	0.3333333333333333
I	8EE-	16E-	8.g	8.b-	3	M4/4	3.0	strong beat	0.0	1.0
I	8EE-	16G	8.g	8.b-	3.25	M4/4	1.0	off beat	0.0	1.0
I	8EE-	16B-	8.g	8.b-	3.5	M4/4	1.0	off beat	0.0	1.0
I	8EE-	16e-	16B-	16g	3.75	M4/4	1.0	off beat	0.0	0.3333333333333333
IVc	8EE-	8E-	8c	16a-	4	M4/4	3.0	weak beat	1.0	0.6666666666666666
IVc	8EE-	8E-	8c	16f	4.25	M4/4	1.0	off beat	0.0	0.6666666666666666
viio	8EE-	8F	8A-	16e-	4.5	M4/4	3.0	off beat	1.0	0.8571428571428571
viio	8EE-	8F	8A-	16d	4.75	M4/4	1.0	off beat	0.0	0.3333333333333333
I	16EE-	4E-	4G	[4e-	1	M4/4	3.0	strong beat	1.0	1.0
I	16E-	4E-	4G	[4e-	1.25	M4/4	0.0	off beat	0.0	0.8
I	16BB-	4E-	4G	[4e-	1.5	M4/4	1.0	off beat	0.0	0.8
I	16GG	4E-	4G	[4e-	1.75	M4/4	1.0	off beat	0.0	0.6666666666666666
I	4EE-	4r	2.r	16e-]	2	M4/4	1.0	weak beat	0.0	0.6666666666666666
I	4EE-	4r	2.r	16d	2.25	M4/4	1.0	off beat	0.0	0.5
I	4EE-	4r	2.r	16f	2.5	M4/4	1.0	off beat	0.0	0.6666666666666666
I	4EE-	4r	2.r	16e-	2.75	M4/4	1.0	off beat	0.0	0.6666666666666666
I	2r	16e-	2.r	16g	3	M4/4	1.0	strong beat	0.0	0.0
I	2r	16d	2.r	16f	3.25	M4/4	2.0	off beat	0.0	0.5
I	2r	16f	2.r	16a-	3.5	M4/4	1.0	off beat	0.0	0.0
I	2r	16e-	2.r	16g	3.75	M4/4	2.0	off beat	0.0	0.5
I	2r	16g	2.r	16b-	4	M4/4	1.0	weak beat	0.0	0.0
I	2r	16f	2.r	16a-	4.25	M4/4	2.0	off beat	0.0	0.5
I	2r	16a-	2.r	16cc	4.5	M4/4	1.0	off beat	0.0	0.0
I	2r	16g	2.r	16b-	4.75	M4/4	2.0	off beat	0.0	0.4
viioD7/V/V	8E	4b-	1r	4dd-	1	M4/4	2.0	strong beat	1.0	1.0
viioD7/V/V	8E	4b-	1r	4dd-	1.5	M4/4	0.0	off beat	0.0	0.3333333333333333
viioD7/V/V	8E	8a-	1r	8cc	2	M4/4	2.0	weak beat	0.0	0.3333333333333333
viioD7/V/V	8E	8g	1r	8b-	2.5	M4/4	2.0	off beat	0.0	0.0
V7/V	8F	8f	1r	8a	3	M4/4	3.0	strong beat	1.0	0.4
V7/V	8F	8cc	1r	8ee-	3.5	M4/4	2.0	off beat	0.0	0.0
Vb/iii	8F#	8b	1r	8dd	4	M4/4	3.0	weak beat	1.0	0.3333333333333333
Vb/iii	8F#	8a	1r	8cc	4.5	M4/4	2.0	off beat	0.0	0.0
viiob	[2EE-	2F	2A-	2d	1	M4/4	4.0	strong beat	1.0	0.3333333333333333
I	4EE-]	4E-	4G	4e-	3	M4/4	3.0	strong beat	1.0	0.0
V 	2.r	2.r	2.r	8g	1.5	M6/8	1.0	off beat	1.0	1.0
V 	2.r	2.r	2.r	8g	2	M6/8	0.0	off beat	0.0	1.0
V 	2.r	2.r	2.r	8gg	2.5	M6/8	1.0	weak beat	0.0	0.0
V 	2.r	2.r	2.r	8ff#	3	M6/8	1.0	off beat	0.0	0.0
V 	2.r	2.r	2.r	8ff	3.5	M6/8	1.0	off beat	0.0	0.0
I	2.r	2r	2.r	8ee	1	M6/8	1.0	strong beat	1.0	0.0
I	2.r	2r	2.r	8cc	1.5	M6/8	1.0	off beat	0.0	0.0
I	2.r	2r	2.r	8b	2	M6/8	1.0	off beat	0.0	0.0
iib	2.r	2r	2.r	4a	2.5	M6/8	1.0	weak beat	1.0	0.6666666666666666
iib	2.r	8f	2.r	4a	3	M6/8	1.0	off beat	0.0	0.5
iib	2.r	[8f	2.r	8dd	3.5	M6/8	1.0	off beat	0.0	0.5
Ic	2.r	8f]	2.r	4g	1	M6/8	1.0	strong beat	1.0	0.6666666666666666
Ic	2.r	16g	2.r	4g	1.5	M6/8	0.0	off beat	0.0	0.6666666666666666
Ic	2.r	16f	2.r	4g	1.75	M6/8	1.0	off beat	0.0	0.0
Ic	2.r	4e	2.r	8cc	2	M6/8	2.0	off beat	0.0	0.5
ii	2.r	4e	2.r	8f	2.5	M6/8	1.0	weak beat	1.0	0.5
ii	2.r	8d	2.r	8ff	3	M6/8	2.0	off beat	0.0	0.5
ii	2.r	8c	2.r	8ff	3.5	M6/8	1.0	off beat	0.0	0.5
V7b	2.r	4.B	2r	8ff	1	M6/8	1.0	strong beat	1.0	0.5
V7b	2.r	4.B	2r	16gg	1.5	M6/8	1.0	off beat	0.0	0.5
V7b	2.r	4.B	2r	16ff	1.75	M6/8	1.0	off beat	0.0	0.5
V7b	2.r	4.B	2r	16ee	2	M6/8	1.0	off beat	0.0	0.5
V7b	2.r	4.B	2r	16dd	2.25	M6/8	1.0	off beat	0.0	0.0
I	2.r	4.c	2r	8ee	2.5	M6/8	2.0	weak beat	1.0	1.0
I	2.r	4.c	8c	16e	3	M6/8	1.0	off beat	0.0	0.5
I	2.r	4.c	8c	16f	3.25	M6/8	1.0	off beat	0.0	0.5
I	2.r	4.c	8c	16e	3.5	M6/8	1.0	off beat	0.0	0.5
I	2.r	4.c	8c	16d	3.75	M6/8	1.0	off beat	0.0	0.6666666666666666
I	2.r	8C	8cc	4c	1	M6/8	2.0	strong beat	0.0	0.5
I	2.r	8D	8b	4c	1.5	M6/8	2.0	off beat	0.0	0.0
I	2.r	8E	8b-	2r	2	M6/8	2.0	off beat	0.0	0.0
IV	2.r	8F	8a	2r	2.5	M6/8	2.0	weak beat	1.0	0.5
IV	2.r	8A	8g	2r	3	M6/8	2.0	off beat	0.0	0.0
IV	2.r	8B	8f	2r	3.5	M6/8	2.0	off beat	0.0	0.0
vib	2.r	8c	4e	8r	1	M6/8	2.0	strong beat	1.0	0.8
vib	2.r	8A	4e	8cc	1.5	M6/8	2.0	off beat	0.0	0.6666666666666666
vib	2.r	8G	8a	4cc	2	M6/8	2.0	off beat	0.0	0.3333333333333333
Vb/V	2.r	4F#	4d	4cc	2.5	M6/8	2.0	weak beat	1.0	0.8
Vb/V	2.r	4F#	4d	16dd	3	M6/8	1.0	off beat	0.0	0.8
Vb/V	2.r	4F#	4d	16cc	3.25	M6/8	1.0	off beat	0.0	0.0
V	2.r	8G	8g	[8b	3.5	M6/8	3.0	off beat	1.0	0.4
Ib	2.r	4.e	8c	8b]	1	M6/8	2.0	strong beat	1.0	0.6666666666666666
Ib	2.r	4.e	8cc	8a	1.5	M6/8	2.0	off beat	0.0	0.6666666666666666
Ib	2.r	4.e	8cc	8g	2	M6/8	1.0	off beat	0.0	0.3333333333333333
V7/V	2.r	4.d	8cc	4.f#	2.5	M6/8	2.0	weak beat	1.0	0.8
V7/V	2.r	4.d	16dd	4.f#	3	M6/8	1.0	off beat	0.0	0.8
V7/V	2.r	4.d	16cc	4.f#	3.25	M6/8	1.0	off beat	0.0	0.6666666666666666
V7/V	2.r	4.d	16b	4.f#	3.5	M6/8	1.0	off beat	0.0	0.6666666666666666
V7/V	2.r	4.d	16a	4.f#	3.75	M6/8	1.0	off beat	0.0	0.0
V	2.r	8r	8b	4g	1	M6/8	2.0	strong beat	1.0	1.0
V	2.r	8G	16B	4g	1.5	M6/8	2.0	off beat	0.0	0.5
V	2.r	8G	16c	4g	1.75	M6/8	1.0	off beat	0.0	0.5
V	2.r	8G	16B	8r	2	M6/8	1.0	off beat	0.0	0.5
V	2.r	8G	16A	8r	2.25	M6/8	1.0	off beat	0.0	0.6666666666666666
V	2.r	8g	4G	8g	2.5	M6/8	1.0	weak beat	0.0	0.5
V	2.r	8f#	4G	8a	3	M6/8	2.0	off beat	0.0	0.0
V	2.r	8f	8r	8b	3.5	M6/8	2.0	off beat	0.0	0.0
Ib	2.r	8e	2r	8cc	1	M6/8	2.0	strong beat	1.0	0.5
Ib	2.r	8c	2r	8dd	1.5	M6/8	2.0	off beat	0.0	0.0
Ib	2.r	8B	2r	8ee	2	M6/8	2.0	off beat	0.0	0.0
iim7b	2.r	4A	2r	8ff	2.5	M6/8	2.0	weak beat	1.0	0.8
iim7b	2.r	4A	8f	8dd	3	M6/8	2.0	off beat	0.0	0.6666666666666666
iim7b	2.r	8d	[8f	8cc	3.5	M6/8	2.0	off beat	0.0	0.3333333333333333
V	2.r	4G	8f]	4b	1	M6/8	2.0	strong beat	1.0	0.8
V	2.r	4G	16g	4b	1.5	M6/8	1.0	off beat	0.0	0.8
V	2.r	4G	16f	4b	1.75	M6/8	1.0	off beat	0.0	0.0
Ic	2.r	8c	4e	8cc	2	M6/8	3.0	off beat	1.0	0.4
iim7b	2.r	8F	4e	4.a	2.5	M6/8	2.0	weak beat	1.0	0.6666666666666666
iim7b	2.r	8f	8d	4.a	3	M6/8	2.0	off beat	0.0	0.6666666666666666
iim7b	2.r	8f	8c	4.a	3.5	M6/8	1.0	off beat	0.0	0.3333333333333333
V7	2r	8f	4.B	4g	1	M6/8	2.0	strong beat	1.0	0.8
V7	2r	16g	4.B	4g	1.5	M6/8	0.0	off beat	0.0	0.8
V7	2r	16f	4.B	4g	1.75	M6/8	1.0	off beat	0.0	0.4
V7	2r	16e	4.B	2r	2	M6/8	1.0	off beat	0.0	0.5
V7	2r	16d	4.B	2r	2.25	M6/8	1.0	off beat	0.0	0.0
I	2r	8e	8c	2r	2.5	M6/8	2.0	weak beat	1.0	1.0
I	8C	16E	4r	2r	3	M6/8	2.0	off beat	0.0	0.5
I	8C	16F	4r	2r	3.25	M6/8	1.0	off beat	0.0	0.5
I	8C	16E	4r	2r	3.5	M6/8	1.0	off beat	0.0	0.5
I	8C	16D	4r	2r	3.75	M6/8	1.0	off beat	0.0	0.5
I	8c	4C	8c	16e	1	M6/8	2.0	strong beat	0.0	0.6666666666666666
I	8c	4C	8c	16c	1.25	M6/8	0.0	off beat	0.0	0.4
I	8B	4C	8d	16f	1.5	M6/8	3.0	off beat	0.0	0.8571428571428571
I	8B	4C	8d	16c	1.75	M6/8	1.0	off beat	0.0	0.0
V7d/IV	8B-	2r	8e	16g	2	M6/8	3.0	off beat	1.0	0.6666666666666666
V7d/IV	8B-	2r	8e	16c	2.25	M6/8	1.0	off beat	0.0	0.0
IVb	8A	2r	8f	4a	2.5	M6/8	3.0	weak beat	1.0	0.5
IVb	8G	2r	8a	4a	3	M6/8	1.0	off beat	0.0	0.0
IVb	8F	2r	8b	8r	3.5	M6/8	2.0	off beat	0.0	0.0
vic	4E	8r	8cc	2r	1	M6/8	2.0	strong beat	1.0	0.8
vic	4E	8cc	8a	2r	1.5	M6/8	1.0	off beat	0.0	0.6666666666666666
vic	8A	4cc	8g	2r	2	M6/8	2.0	off beat	0.0	0.3333333333333333
V7/V	4D	4cc	4f#	2r	2.5	M6/8	2.0	weak beat	1.0	0.6666666666666666
V7/V	4D	16dd	4f#	8A	3	M6/8	2.0	off beat	0.0	0.8571428571428571
V7/V	4D	16cc	4f#	8A	3.25	M6/8	1.0	off beat	0.0	0.0
V	8G	[8b	8g	8B	3.5	M6/8	4.0	off beat	1.0	0.4
I	8C	8b]	4.ee	8c	1	M6/8	3.0	strong beat	1.0	0.5714285714285714
I	8c	8a	4.ee	8f#	1.5	M6/8	2.0	off beat	0.0	0.5714285714285714
I	8c	8g	4.ee	8g	2	M6/8	1.0	off beat	0.0	0.2857142857142857
V7d/V	8c	4.f#	[4.dd	4a	2.5	M6/8	3.0	weak beat	1.0	0.8571428571428571
V7d/V	16d	4.f#	[4.dd	4a	3	M6/8	1.0	off beat	0.0	0.8571428571428571
V7d/V	16c	4.f#	[4.dd	4a	3.25	M6/8	1.0	off beat	0.0	0.5714285714285714
V7d/V	16B	4.f#	[4.dd	8r	3.5	M6/8	1.0	off beat	0.0	0.6666666666666666
V7d/V	16A	4.f#	[4.dd	8r	3.75	M6/8	1.0	off beat	0.0	0.3333333333333333
Vb	4B	4g	4dd]	8r	1	M6/8	2.0	strong beat	1.0	1.0
Vb	4B	4g	4dd]	8g	1.5	M6/8	0.0	off beat	0.0	0.5
Vb	2r	8r	8r	8g	2	M6/8	0.0	off beat	0.0	0.6666666666666666
Vb	2r	8G	16B	8gg	2.5	M6/8	3.0	weak beat	0.0	0.6666666666666666
Vb	2r	8G	16G	8gg	2.75	M6/8	0.0	off beat	0.0	0.0
Vb	2r	8A	16c	8ff#	3	M6/8	3.0	off beat	0.0	0.6666666666666666
Vb	2r	8A	16G	8ff#	3.25	M6/8	1.0	off beat	0.0	0.0
viio	2r	8B	16d	8ff	3.5	M6/8	3.0	off beat	1.0	0.6666666666666666
viio	2r	8B	16G	8ff	3.75	M6/8	1.0	off beat	0.0	0.0
I	2r	8c	4e	8ee	1	M6/8	3.0	strong beat	1.0	0.8
I	2r	8d	4e	8cc	1.5	M6/8	2.0	off beat	0.0	0.4
I	2r	8e	2r	8b	2	M6/8	1.0	off beat	0.0	0.0
iim7b	2r	8f	2r	4a	2.5	M6/8	2.0	weak beat	1.0	0.8
iim7b	8F	8d	2r	4a	3	M6/8	2.0	off beat	0.0	0.6666666666666666
iim7b	[8F	8c	2r	8dd	3.5	M6/8	2.0	off beat	0.0	0.3333333333333333
V7d	8F]	4B	8r	4g	1	M6/8	2.0	strong beat	1.0	0.6666666666666666
V7d	16G	4B	8d	4g	1.5	M6/8	2.0	off beat	0.0	0.8571428571428571
V7d	16F	4B	8d	4g	1.75	M6/8	1.0	off beat	0.0	0.0
Ib	4E	8c	8e	8cc	2	M6/8	4.0	off beat	1.0	0.4
IVM7d	4E	4.A	8f	8f	2.5	M6/8	2.0	weak beat	1.0	0.5714285714285714
IVM7d	8D	4.A	8b	8ff	3	M6/8	3.0	off beat	0.0	0.5714285714285714
IVM7d	8C	4.A	8cc	8ff	3.5	M6/8	2.0	off beat	0.0	0.2857142857142857
V7b	4.BB	[2G	4.dd	8ff	1	M6/8	3.0	strong beat	1.0	0.8571428571428571
V7b	4.BB	[2G	4.dd	16gg	1.5	M6/8	1.0	off beat	0.0	0.8571428571428571
V7b	4.BB	[2G	4.dd	16ff	1.75	M6/8	1.0	off beat	0.0	0.75
V7b	4.BB	[2G	4.dd	16ee	2	M6/8	1.0	off beat	0.0	0.8571428571428571
V7b	4.BB	[2G	4.dd	16dd	2.25	M6/8	0.0	off beat	0.0	0.3333333333333333
I	4C	[2G	8cc	8ee	2.5	M6/8	3.0	weak beat	1.0	1.0
I	4C	8G]	8ee	8gg	3	M6/8	1.0	off beat	0.0	0.8
I	8r	8e	8ee	[8ccc	3.5	M6/8	2.0	off beat	0.0	0.4
iim7b	2.r	8f	4.dd	8ccc]	1	M6/8	2.0	strong beat	1.0	0.3333333333333333
V	2.r	16g	4.dd	4.bb	1.5	M6/8	2.0	off beat	1.0	0.6666666666666666
V	2.r	16f	4.dd	4.bb	1.75	M6/8	1.0	off beat	0.0	0.6666666666666666
V	2.r	16e	4.dd	4.bb	2	M6/8	1.0	off beat	0.0	0.8
V	2.r	16d	4.dd	4.bb	2.25	M6/8	1.0	off beat	0.0	0.4
I	2.r	8e	4.cc	4.bb	2.5	M6/8	2.0	weak beat	1.0	0.3333333333333333
IV	2.r	8f	4.cc	[4aa	3	M6/8	2.0	off beat	1.0	0.8
IV	2.r	8c	4.cc	[4aa	3.5	M6/8	1.0	off beat	0.0	0.4
viiom7b	2.r	8d	4.b	8aa]	1	M6/8	2.0	strong beat	1.0	0.3333333333333333
iii	2.r	16e	4.b	4.gg	1.5	M6/8	2.0	off beat	1.0	0.6666666666666666
iii	2.r	16d	4.b	4.gg	1.75	M6/8	1.0	off beat	0.0	0.6666666666666666
iii	2.r	16c	4.b	4.gg	2	M6/8	1.0	off beat	0.0	0.8
iii	2.r	16B	4.b	4.gg	2.25	M6/8	1.0	off beat	0.0	0.4
IVc	2.r	8c	4.a	4.gg	2.5	M6/8	2.0	weak beat	1.0	0.3333333333333333
ii	2.r	8d	4.a	[4ff	3	M6/8	2.0	off beat	1.0	0.8
ii	2.r	8A	4.a	[4ff	3.5	M6/8	1.0	off beat	0.0	0.4
V7b	4r	8B	4.g	8ff]	1	M6/8	2.0	strong beat	1.0	0.3333333333333333
I	4r	8c	4.g	8ee	1.5	M6/8	2.0	off beat	1.0	1.0
iii	8E	4cc	4.g	8ee	2	M6/8	2.0	off beat	1.0	0.2857142857142857
iib	8F	4cc	8a	4.dd	2.5	M6/8	3.0	weak beat	1.0	0.2857142857142857
V	16G	[4b	[4g	4.dd	3	M6/8	3.0	off beat	1.0	0.8571428571428571
V	16F	[4b	[4g	4.dd	3.25	M6/8	1.0	off beat	0.0	0.75
V	16E	[4b	[4g	4.dd	3.5	M6/8	1.0	off beat	0.0	0.8571428571428571
V	16D	[4b	[4g	4.dd	3.75	M6/8	1.0	off beat	0.0	0.5714285714285714
Ib	8E	8b]	8g]	4.cc	1	M6/8	2.0	strong beat	1.0	0.2857142857142857
IV	8F	4.a	4.f	4.cc	1.5	M6/8	3.0	off beat	1.0	1.0
IV	8C	4.a	4.f	4.cc	2	M6/8	1.0	off beat	0.0	0.5714285714285714
viiob	8D	4.a	4.f	4.b	2.5	M6/8	2.0	weak beat	1.0	0.2857142857142857
V7/vi	16E	8g#	8e	4.b	3	M6/8	3.0	off beat	1.0	0.8571428571428571
V7/vi	16D	8g#	8e	4.b	3.25	M6/8	1.0	off beat	0.0	0.75
V7/vi	16C	8g#	8e	4.b	3.5	M6/8	1.0	off beat	0.0	0.8571428571428571
V7/vi	16BB	8g#	8e	4.b	3.75	M6/8	1.0	off beat	0.0	0.3333333333333333
vib	8C	8e	8ee	4a	1	M6/8	3.0	strong beat	1.0	0.2857142857142857
V7/iii	8BB	8f#	8dd#	4a	1.5	M6/8	3.0	off beat	1.0	0.0
V7/vi	8E	8g#	8dd	2r	2	M6/8	3.0	off beat	1.0	0.0
vi	4AA	4a	8cc	2r	2.5	M6/8	3.0	weak beat	1.0	0.6666666666666666
vi	4AA	4a	8a	2r	3	M6/8	0.0	off beat	0.0	0.0
vi	8r	8r	8g	2r	3.5	M6/8	1.0	off beat	0.0	0.0
viiob	2.r	8r	4f	2.r	1	M6/8	1.0	strong beat	1.0	0.6666666666666666
viiob	2.r	8d	4f	2.r	1.5	M6/8	1.0	off beat	0.0	0.5
viiob	2.r	4d	8b	2.r	2	M6/8	1.0	off beat	0.0	0.5
vic	2.r	4d	4e	2.r	2.5	M6/8	1.0	weak beat	1.0	0.6666666666666666
vic	2.r	16e	4e	2.r	3	M6/8	0.0	off beat	0.0	0.6666666666666666
vic	2.r	16d	4e	2.r	3.25	M6/8	1.0	off beat	0.0	0.0
vic	2.r	[8c	8a	2.r	3.5	M6/8	2.0	off beat	0.0	0.5
viiob	2r	8c]	8d	2.r	1	M6/8	1.0	strong beat	1.0	0.5
viiob	2r	8B	8dd	2.r	1.5	M6/8	2.0	off beat	0.0	0.5
viiob	2r	8A	8dd	2.r	2	M6/8	1.0	off beat	0.0	0.5
V/V	2r	4.G#	8dd	2.r	2.5	M6/8	1.0	weak beat	1.0	0.5
V/V	8EE	4.G#	16ee	2.r	3	M6/8	2.0	off beat	0.0	0.8
V/V	8EE	4.G#	16dd	2.r	3.25	M6/8	1.0	off beat	0.0	0.6666666666666666
V/V	8EE	4.G#	16cc	2.r	3.5	M6/8	1.0	off beat	0.0	0.6666666666666666
V/V	8EE	4.G#	16b	2.r	3.75	M6/8	1.0	off beat	0.0	0.3333333333333333
Ib	8E	8A	8cc	2.r	1	M6/8	3.0	strong beat	1.0	0.0
V/iii	8D#	8G#	8b	2.r	1.5	M6/8	3.0	off beat	1.0	0.0
V7d/vi	8D	4r	8e	2.r	2	M6/8	2.0	off beat	1.0	0.0
vi	8C	4r	[4.a	2.r	2.5	M6/8	2.0	weak beat	1.0	0.5
vi	8AA	8E	[4.a	2.r	3	M6/8	2.0	off beat	0.0	0.8
vi	8GG	8E	[4.a	2.r	3.5	M6/8	1.0	off beat	0.0	0.6666666666666666
IVM7d	4FF	8e	8a]	2.r	1	M6/8	2.0	strong beat	1.0	0.6666666666666666
IVM7d	4FF	8d#	8a	2.r	1.5	M6/8	1.0	off beat	0.0	0.3333333333333333
viiom7	8BB	8d	8a	2.r	2	M6/8	2.0	off beat	1.0	0.3333333333333333
V7/vi	4EE	4d	4g#	2.r	2.5	M6/8	2.0	weak beat	1.0	0.0
vi	8AA	8c	8a	2.r	3.5	M6/8	3.0	off beat	1.0	0.4
iim7	8DD	8c	4.f	2.r	1	M6/8	2.0	strong beat	1.0	0.6666666666666666
viiob	8D	8B	4.f	2.r	1.5	M6/8	2.0	off beat	1.0	0.6666666666666666
IV	8D	8A	4.f	2.r	2	M6/8	1.0	off beat	1.0	0.3333333333333333
V7d/vi	8D	4.G#	[4.e	2.r	2.5	M6/8	2.0	weak beat	1.0	0.8
V7d/vi	16E	4.G#	[4.e	2.r	3	M6/8	1.0	off beat	0.0	0.8
V7d/vi	16D	4.G#	[4.e	2.r	3.25	M6/8	1.0	off beat	0.0	0.6666666666666666
V7d/vi	16C	4.G#	[4.e	2.r	3.5	M6/8	1.0	off beat	0.0	0.6666666666666666
V7d/vi	16BB	4.G#	[4.e	2.r	3.75	M6/8	1.0	off beat	0.0	0.3333333333333333
vi	4C	4A	8e]	8a	1	M6/8	3.0	strong beat	1.0	0.8
vi	4C	4A	8A	16aa	1.5	M6/8	1.0	off beat	0.0	0.8
vi	4C	4A	8A	16gg	1.75	M6/8	1.0	off beat	0.0	0.3333333333333333
IV+c	8C#	2r	8a	16ff	2	M6/8	3.0	off beat	1.0	0.6666666666666666
IV+c	8C#	2r	8a	16ee	2.25	M6/8	1.0	off beat	0.0	0.3333333333333333
ii	4.D	2r	8a	[4.ff	2.5	M6/8	2.0	weak beat	1.0	0.8
ii	4.D	2r	16dd	[4.ff	3	M6/8	1.0	off beat	0.0	0.8
ii	4.D	2r	16cc	[4.ff	3.25	M6/8	1.0	off beat	0.0	0.6666666666666666
ii	4.D	2r	16b	[4.ff	3.5	M6/8	1.0	off beat	0.0	0.6666666666666666
ii	4.D	2r	16a	[4.ff	3.75	M6/8	1.0	off beat	0.0	0.3333333333333333
V	4GG	8r	4b	8ff]	1	M6/8	2.0	strong beat	1.0	0.8
V	4GG	8G	4b	16gg	1.5	M6/8	2.0	off beat	0.0	0.8
V	4GG	8G	4b	16ff	1.75	M6/8	1.0	off beat	0.0	0.3333333333333333
Ic	2r	8G	8cc	16ee	2	M6/8	2.0	off beat	1.0	0.6666666666666666
Ic	2r	8G	8cc	16dd	2.25	M6/8	1.0	off beat	0.0	0.6666666666666666
vii	2r	8g	8cc	8ee	2.5	M6/8	2.0	weak beat	1.0	0.0
V7d	2r	8f#	8b	8dd	3	M6/8	3.0	off beat	1.0	0.0
V7d	2r	8f	8g	8r	3.5	M6/8	2.0	off beat	0.0	0.0
Ib	2.r	4.e	4cc	8r	1	M6/8	2.0	strong beat	1.0	0.8
Ib	2.r	4.e	4cc	8g	1.5	M6/8	1.0	off beat	0.0	0.8
Ib	2.r	4.e	8g	8g	2	M6/8	0.0	off beat	0.0	0.4
V/V	2.r	4d	4a	8gg	2.5	M6/8	3.0	weak beat	1.0	0.6666666666666666
V/V	2.r	4d	4a	8ff#	3	M6/8	1.0	off beat	0.0	0.0
V7	2.r	8G	8b	8ff	3.5	M6/8	3.0	off beat	1.0	0.0
I	8r	8c	4cc	4ee	1	M6/8	3.0	strong beat	1.0	1.0
I	8C	8e	4cc	4ee	1.5	M6/8	2.0	off beat	0.0	1.0
I	8C	8e	2r	8r	2	M6/8	0.0	off beat	0.0	1.0
I	8c	8e	2r	8cc	2.5	M6/8	2.0	weak beat	0.0	0.0
viio	8B	8f	2r	8dd	3	M6/8	3.0	off beat	1.0	0.0
viioc/IV	8B-	8g	2r	8ee	3.5	M6/8	3.0	off beat	1.0	0.0
IVb	4.A	4a	8r	4ff	1	M6/8	3.0	strong beat	1.0	0.8
IVb	4.A	4a	8cc	4ff	1.5	M6/8	1.0	off beat	0.0	1.0
IVb	4.A	8f	8cc	2r	2	M6/8	1.0	off beat	0.0	0.3333333333333333
V	4G	4d	8ccc	2r	2.5	M6/8	3.0	weak beat	1.0	0.6666666666666666
V	4G	4d	8bb	2r	3	M6/8	1.0	off beat	0.0	0.0
V7/IV	8C	8e	8bb-	2r	3.5	M6/8	3.0	off beat	1.0	0.0
IV	4F	4f	4aa	8r	1	M6/8	3.0	strong beat	1.0	1.0
IV	4F	4f	4aa	8f	1.5	M6/8	0.0	off beat	0.0	0.6666666666666666
IV	2r	2r	4.r	8f	2	M6/8	0.0	off beat	0.0	1.0
IV	2r	2r	4.r	8ff	2.5	M6/8	1.0	weak beat	0.0	0.0
IV	2r	2r	4.r	8ee	3	M6/8	1.0	off beat	0.0	0.0
viio/IV/IV	2r	2r	8a	8ee-	3.5	M6/8	2.0	off beat	1.0	0.0
IV/IV	2.r	2.r	8b-	4dd	1	M6/8	2.0	strong beat	1.0	0.5
IV/IV	2.r	2.r	8a	4dd	1.5	M6/8	1.0	off beat	0.0	0.0
Lt/i	2.r	2.r	8a-	8ff#	2	M6/8	2.0	off beat	1.0	0.0
V	2.r	2.r	4g	8gg	2.5	M6/8	2.0	weak beat	1.0	0.6666666666666666
V	2.r	2.r	4g	8ff#	3	M6/8	1.0	off beat	0.0	0.0
viio	2.r	2.r	8b	8ff	3.5	M6/8	2.0	off beat	1.0	0.0
